sex,league,position,age,salary,height,weight,topspeed,careergoals
female,first,attacker,33.5,44.0,166.3,59.2,22.93,159.0
female,first,attacker,32.8,46.0,159.9,50.5,24.07,219.0
female,first,attacker,17.5,26.0,165.8,55.9,23.04,86.0
female,first,attacker,31.6,46.0,167.1,58.7,25.3,171.0
female,first,attacker,21.4,45.0,169.9,57.3,23.78,41.0
female,first,attacker,28.0,44.0,161.1,50.6,24.91,124.0
female,first,attacker,29.3,64.0,164.7,56.9,25.48,122.0
female,first,attacker,28.0,31.0,161.8,62.3,24.24,172.0
female,first,attacker,31.2,34.0,163.6,56.1,23.24,234.0
female,first,attacker,24.0,50.0,165.9,52.4,25.37,87.0
female,first,attacker,24.3,46.0,172.4,61.3,22.13,82.0
female,first,attacker,30.0,49.0,162.0,49.0,25.02,122.0
female,first,attacker,36.9,53.0,165.5,59.9,22.14,201.0
female,first,attacker,22.7,19.0,167.0,58.4,21.75,140.0
female,first,attacker,32.2,45.0,169.2,64.0,24.0,158.0
female,first,attacker,29.6,40.0,165.1,59.0,24.46,130.0
female,first,attacker,23.0,40.0,161.8,55.2,22.36,58.0
female,first,attacker,23.3,30.0,160.2,52.7,26.04,126.0
female,first,attacker,19.6,30.0,162.2,50.5,25.53,92.0
female,first,attacker,25.5,44.0,160.8,53.6,26.13,133.0
female,first,attacker,25.4,22.0,164.9,53.7,24.65,144.0
female,first,attacker,19.2,29.0,159.3,49.8,21.78,133.0
female,first,attacker,27.8,52.0,165.3,57.6,23.39,133.0
female,first,attacker,27.0,36.0,168.2,61.9,21.9,171.0
female,first,attacker,28.3,44.0,162.5,54.1,23.08,172.0
female,first,attacker,27.8,28.0,163.8,55.6,25.65,161.0
female,first,attacker,21.6,28.0,165.4,54.6,20.58,81.0
female,first,attacker,30.4,53.0,165.0,51.8,24.26,156.0
female,first,attacker,23.0,18.0,164.6,55.1,18.76,154.0
female,first,attacker,25.6,36.0,163.8,52.8,23.76,179.0
female,first,attacker,26.6,24.0,163.7,56.5,23.58,185.0
female,first,attacker,27.0,51.0,164.2,56.8,22.13,100.0
female,first,attacker,22.8,35.0,164.1,55.3,22.61,113.0
female,first,attacker,17.6,39.0,166.7,53.8,23.66,66.0
female,first,attacker,20.3,31.0,160.8,48.9,27.07,110.0
female,first,attacker,20.8,30.0,162.3,48.9,26.48,136.0
female,first,attacker,17.8,34.0,168.7,61.3,19.55,38.0
female,first,attacker,27.0,44.0,163.8,59.1,26.75,156.0
female,first,attacker,23.3,46.0,167.0,56.6,22.14,72.0
female,first,attacker,25.0,38.0,167.4,58.6,23.49,134.0
female,first,attacker,23.0,42.0,166.0,56.1,24.6,91.0
female,first,attacker,29.2,50.0,164.6,57.7,26.55,160.0
female,first,attacker,19.4,41.0,158.4,51.5,19.9,30.0
female,first,attacker,22.2,33.0,162.7,56.3,23.3,125.0
female,first,attacker,25.3,13.0,168.4,60.1,22.62,158.0
female,first,attacker,26.2,50.0,167.8,52.6,24.42,103.0
female,first,attacker,30.2,32.0,167.0,58.6,21.97,216.0
female,first,attacker,26.3,43.0,168.3,61.1,21.5,119.0
female,first,attacker,23.9,19.0,160.8,53.9,26.41,131.0
female,first,attacker,31.1,41.0,166.6,54.3,25.78,235.0
female,first,attacker,31.8,58.0,163.9,58.5,25.26,123.0
female,first,attacker,30.3,43.0,165.6,56.4,21.6,201.0
female,first,attacker,19.2,17.0,168.5,61.3,24.8,142.0
female,first,attacker,25.5,38.0,164.4,54.4,25.3,139.0
female,first,attacker,26.9,42.0,164.4,58.5,24.67,129.0
female,first,attacker,23.0,41.0,163.4,61.5,27.55,89.0
female,first,attacker,31.5,23.0,167.1,58.7,23.63,217.0
female,first,attacker,32.1,49.0,165.6,56.5,25.46,161.0
female,first,attacker,20.1,37.0,167.5,54.3,20.82,67.0
female,first,attacker,22.9,34.0,162.5,51.2,24.66,132.0
female,first,attacker,28.4,38.0,168.4,63.3,21.83,140.0
female,first,attacker,20.1,48.0,165.2,57.7,25.01,67.0
female,first,attacker,33.6,60.0,159.6,54.7,25.61,196.0
female,first,attacker,24.8,48.0,164.1,49.0,23.33,101.0
female,first,attacker,35.9,46.0,166.3,53.2,21.2,208.0
female,first,attacker,23.0,30.0,168.8,60.0,23.19,128.0
female,first,attacker,27.1,50.0,168.0,55.3,20.32,175.0
female,first,attacker,27.1,51.0,158.5,48.7,25.53,126.0
female,first,attacker,20.3,40.0,167.9,61.8,22.96,80.0
female,first,attacker,19.6,42.0,165.9,54.1,22.98,71.0
female,first,attacker,18.3,38.0,161.6,56.5,23.57,82.0
female,first,attacker,27.3,53.0,166.5,56.3,24.4,170.0
female,first,attacker,26.9,37.0,160.8,52.8,25.6,154.0
female,first,attacker,22.2,32.0,162.8,59.0,24.69,116.0
female,first,attacker,20.3,42.0,163.6,56.3,28.79,101.0
female,first,attacker,17.8,47.0,164.9,59.1,19.98,23.0
female,first,attacker,24.6,41.0,167.9,57.7,29.22,84.0
female,first,attacker,26.2,44.0,164.1,53.6,23.48,142.0
female,first,attacker,21.6,52.0,167.2,56.5,22.94,83.0
female,first,attacker,26.6,33.0,167.4,62.2,26.26,136.0
female,first,attacker,24.8,36.0,162.2,53.4,24.38,96.0
female,first,attacker,24.9,44.0,172.4,62.8,24.58,72.0
female,first,attacker,18.7,32.0,168.4,52.8,24.0,63.0
female,first,attacker,33.6,45.0,158.6,51.7,22.29,235.0
female,first,attacker,37.9,59.0,165.5,62.0,26.01,213.0
female,first,attacker,27.4,41.0,164.2,55.0,24.41,186.0
female,first,attacker,19.4,25.0,166.8,60.3,20.74,84.0
female,first,attacker,27.6,16.0,166.1,58.4,28.87,202.0
female,first,attacker,32.2,32.0,159.4,53.5,27.35,200.0
female,first,attacker,23.3,32.0,169.5,60.0,24.71,119.0
female,first,attacker,22.4,36.0,166.2,55.5,26.04,94.0
female,first,attacker,24.9,49.0,165.1,57.1,24.26,81.0
female,first,attacker,19.8,57.0,163.0,52.8,24.52,43.0
female,first,attacker,20.2,34.0,165.7,55.8,21.23,72.0
female,first,attacker,32.9,43.0,167.8,56.8,25.4,154.0
female,first,attacker,24.8,46.0,168.0,53.3,25.0,62.0
female,first,attacker,17.6,38.0,167.7,60.7,24.28,33.0
female,first,attacker,25.2,55.0,162.8,51.3,22.99,81.0
female,first,attacker,28.1,36.0,162.5,54.5,22.54,115.0
female,first,attacker,33.0,65.0,169.5,64.4,26.06,153.0
female,first,attacker,23.6,31.0,161.4,48.1,22.85,137.0
female,first,attacker,26.0,34.0,167.5,53.3,23.87,176.0
female,first,attacker,27.7,42.0,165.9,59.7,23.52,136.0
female,first,attacker,26.5,27.0,164.9,62.5,26.19,145.0
female,first,attacker,32.2,33.0,165.6,57.2,25.2,231.0
female,first,attacker,22.5,32.0,161.3,55.2,22.98,132.0
female,first,attacker,23.2,37.0,163.6,56.3,21.16,114.0
male,second,attacker,24.3,23.0,186.0,70.8,32.44,59.0
male,second,attacker,23.4,81.0,176.7,73.5,30.94,78.0
male,second,attacker,27.5,132.0,186.0,77.3,30.56,89.0
male,second,attacker,27.1,26.0,179.0,80.2,31.02,83.0
male,second,attacker,24.5,60.0,186.6,75.3,31.44,69.0
male,second,attacker,21.1,51.0,170.3,62.8,28.5,77.0
male,second,attacker,17.9,62.0,175.7,77.6,31.56,49.0
male,second,attacker,22.1,74.0,173.1,70.5,34.93,44.0
male,second,attacker,19.0,45.0,172.0,72.0,30.87,66.0
male,second,attacker,25.9,63.0,177.3,70.8,30.14,85.0
male,second,attacker,25.5,65.0,168.8,66.6,31.23,72.0
male,second,attacker,21.7,86.0,188.7,75.0,33.83,29.0
male,second,attacker,22.1,51.0,174.6,74.0,27.95,85.0
male,second,attacker,22.2,13.0,167.4,70.0,30.78,67.0
male,second,attacker,29.1,78.0,179.8,73.2,29.6,102.0
male,second,attacker,26.6,94.0,177.9,71.0,32.8,78.0
male,second,attacker,23.6,31.0,179.8,72.7,29.9,71.0
male,second,attacker,25.5,93.0,178.6,71.9,30.4,78.0
male,second,attacker,25.7,56.0,178.2,66.2,33.05,69.0
male,second,attacker,22.6,41.0,174.2,67.2,31.13,67.0
male,second,attacker,28.3,79.0,183.5,70.2,32.72,82.0
male,second,attacker,27.5,117.0,181.3,71.9,28.11,106.0
male,second,attacker,22.2,35.0,179.2,80.6,31.32,57.0
male,second,attacker,17.1,56.0,186.6,73.9,29.54,49.0
male,second,attacker,18.0,53.0,178.2,74.0,30.61,52.0
male,second,attacker,21.3,89.0,176.5,77.9,33.02,57.0
male,second,attacker,33.8,118.0,168.5,69.7,31.56,119.0
male,second,attacker,27.0,69.0,175.2,72.4,32.83,79.0
male,second,attacker,19.7,75.0,175.7,74.5,33.54,41.0
male,second,attacker,27.8,93.0,173.5,77.5,31.96,87.0
male,second,attacker,27.4,93.0,176.9,68.7,31.44,95.0
male,second,attacker,29.8,48.0,177.7,77.8,32.71,83.0
male,second,attacker,32.9,182.0,171.1,75.3,32.84,117.0
male,second,attacker,19.9,0.0,166.4,63.0,31.31,58.0
male,second,attacker,26.0,149.0,174.8,75.0,33.07,72.0
male,second,attacker,32.4,189.0,176.2,70.5,32.38,118.0
male,second,attacker,22.7,92.0,172.6,66.7,31.1,75.0
male,second,attacker,25.4,108.0,168.6,68.3,30.5,93.0
male,second,attacker,23.5,29.0,183.9,76.7,28.47,76.0
male,second,attacker,24.8,50.0,171.7,69.0,33.04,70.0
male,second,attacker,25.2,112.0,180.9,73.0,31.73,76.0
male,second,attacker,21.0,98.0,170.2,66.9,31.13,76.0
male,second,attacker,26.9,136.0,181.0,75.4,31.14,92.0
male,second,attacker,28.8,89.0,173.3,66.9,33.34,88.0
male,second,attacker,22.0,53.0,183.5,78.0,29.14,80.0
male,second,attacker,23.6,68.0,172.3,72.8,30.05,85.0
male,second,attacker,25.4,75.0,169.6,69.5,32.59,83.0
male,second,attacker,22.8,45.0,193.1,85.7,30.46,64.0
male,second,attacker,28.5,75.0,179.5,67.9,28.72,95.0
male,second,attacker,28.4,80.0,174.3,62.6,33.01,93.0
male,second,attacker,20.4,0.0,178.2,72.6,31.65,31.0
male,second,attacker,27.1,109.0,181.7,75.1,28.2,102.0
male,second,attacker,24.0,25.0,172.2,71.0,28.88,86.0
male,second,attacker,24.6,82.0,171.8,69.6,30.66,85.0
male,second,attacker,27.1,124.0,187.3,77.9,32.2,85.0
male,second,attacker,29.1,96.0,173.0,70.0,29.51,111.0
male,second,attacker,28.6,115.0,191.1,81.5,31.94,85.0
male,second,attacker,28.5,91.0,190.4,74.9,25.97,112.0
male,second,attacker,27.4,91.0,171.8,67.0,29.28,97.0
male,second,attacker,31.8,110.0,176.1,74.1,31.92,106.0
male,second,attacker,26.0,48.0,181.8,77.4,31.15,80.0
male,second,attacker,24.7,84.0,183.7,79.3,30.57,78.0
male,second,attacker,26.0,176.0,177.6,74.9,31.93,99.0
male,second,attacker,19.9,54.0,178.1,68.3,33.32,36.0
male,second,attacker,19.7,64.0,171.3,65.5,33.13,45.0
male,second,attacker,22.0,109.0,176.3,75.4,29.82,78.0
male,second,attacker,22.9,62.0,175.1,73.6,32.23,61.0
male,second,attacker,20.8,62.0,173.2,72.5,29.57,61.0
male,second,attacker,23.1,59.0,167.5,65.2,30.5,65.0
male,second,attacker,29.0,121.0,182.7,72.0,31.38,99.0
male,second,attacker,29.1,113.0,178.7,75.4,26.59,127.0
male,second,attacker,17.1,78.0,177.3,75.4,31.67,45.0
male,second,attacker,17.3,19.0,188.3,77.1,30.58,34.0
male,second,attacker,22.5,103.0,168.9,67.0,30.72,84.0
male,second,attacker,27.9,153.0,178.1,73.7,32.08,98.0
male,second,attacker,23.5,106.0,185.4,69.4,31.49,77.0
male,second,attacker,27.7,118.0,180.7,71.6,31.31,94.0
male,second,attacker,27.6,37.0,176.5,66.7,30.33,84.0
male,second,attacker,27.4,79.0,178.3,71.6,27.55,114.0
male,second,attacker,34.6,114.0,181.9,79.8,32.32,115.0
male,second,attacker,26.6,72.0,180.5,75.4,32.1,77.0
male,second,attacker,30.5,123.0,174.3,71.9,28.99,116.0
male,second,attacker,24.4,62.0,171.7,70.8,30.92,80.0
male,second,attacker,29.8,96.0,180.1,72.9,31.26,90.0
male,second,attacker,25.2,47.0,170.6,68.6,30.61,73.0
male,second,attacker,19.9,40.0,174.4,71.4,30.24,63.0
male,second,attacker,23.0,87.0,181.1,77.7,29.91,74.0
male,second,attacker,25.5,100.0,176.6,73.9,32.45,71.0
male,second,attacker,26.1,44.0,179.7,77.1,30.62,75.0
male,second,attacker,20.2,50.0,165.9,65.0,32.58,58.0
male,second,attacker,29.3,130.0,174.6,70.9,31.44,107.0
male,second,attacker,30.4,117.0,176.8,71.7,30.52,107.0
male,second,attacker,27.4,85.0,174.1,68.5,27.93,105.0
male,second,attacker,29.9,155.0,169.1,64.8,28.69,126.0
male,second,attacker,23.6,46.0,183.8,81.2,30.3,71.0
male,second,attacker,31.7,60.0,192.7,81.8,28.33,106.0
male,second,attacker,29.1,111.0,179.0,71.1,31.18,85.0
male,second,attacker,17.9,101.0,181.9,71.3,33.47,31.0
male,second,attacker,27.9,85.0,179.6,73.5,32.09,82.0
male,second,attacker,23.7,80.0,187.7,76.7,31.77,72.0
male,second,attacker,25.8,39.0,175.5,71.8,29.27,91.0
male,second,attacker,21.9,68.0,190.0,81.6,29.89,75.0
male,second,attacker,24.5,68.0,180.8,71.3,31.99,72.0
male,second,attacker,25.8,123.0,170.1,68.6,31.09,89.0
male,second,attacker,26.5,48.0,179.1,73.1,30.83,82.0
male,second,attacker,30.5,83.0,178.0,73.0,30.04,104.0
male,second,attacker,27.6,72.0,167.8,68.0,30.67,96.0
male,second,attacker,22.7,40.0,176.8,71.9,30.81,63.0
male,second,attacker,21.6,41.0,183.4,68.5,28.41,64.0
male,second,attacker,26.0,33.0,177.0,69.4,28.85,96.0
male,second,attacker,34.5,117.0,169.7,66.5,31.72,122.0
male,second,attacker,28.7,92.0,181.1,73.0,31.82,93.0
male,second,attacker,31.7,129.0,177.3,69.7,31.55,113.0
male,second,attacker,22.4,59.0,175.5,63.1,31.43,77.0
male,second,attacker,22.1,17.0,175.3,73.9,31.28,65.0
male,second,attacker,20.5,58.0,177.3,68.4,32.52,44.0
male,second,attacker,23.0,93.0,188.8,82.4,31.15,62.0
male,second,attacker,17.5,46.0,174.4,69.0,32.39,39.0
male,second,attacker,24.9,99.0,171.3,69.5,30.92,81.0
female,second,attacker,33.5,9.0,166.0,61.7,22.37,94.0
female,second,attacker,27.8,11.0,167.9,57.0,23.44,88.0
female,second,attacker,23.3,4.0,167.9,52.3,20.25,65.0
female,second,attacker,29.6,8.0,165.6,58.0,23.4,94.0
female,second,attacker,26.6,10.0,167.2,59.8,22.93,93.0
female,second,attacker,32.2,11.0,167.3,56.4,24.85,83.0
female,second,attacker,25.2,7.0,163.2,53.6,20.07,73.0
female,second,attacker,25.3,8.0,166.1,61.0,24.04,74.0
female,second,attacker,22.9,9.0,159.4,48.3,22.85,64.0
female,second,attacker,28.8,15.0,161.5,51.7,23.68,70.0
female,second,attacker,23.4,9.0,167.1,57.5,24.16,46.0
female,second,attacker,19.7,12.0,166.8,57.6,27.63,23.0
female,second,attacker,30.6,6.0,165.1,55.2,21.2,91.0
female,second,attacker,26.6,10.0,165.8,58.5,21.23,88.0
female,second,attacker,20.6,9.0,166.4,57.8,22.76,40.0
female,second,attacker,21.3,8.0,167.9,60.3,24.44,45.0
female,second,attacker,27.8,7.0,164.2,54.3,22.54,81.0
female,second,attacker,23.6,9.0,160.2,52.6,22.94,81.0
female,second,attacker,22.4,5.0,168.0,65.6,25.01,72.0
female,second,attacker,29.4,8.0,164.9,57.9,20.4,103.0
female,second,attacker,18.2,6.0,166.3,59.1,24.02,27.0
female,second,attacker,26.4,6.0,168.2,63.0,20.49,102.0
female,second,attacker,29.2,12.0,166.1,58.3,23.57,75.0
female,second,attacker,30.2,5.0,165.4,60.2,22.34,101.0
female,second,attacker,23.5,10.0,163.4,55.7,23.6,75.0
female,second,attacker,21.5,5.0,169.5,58.1,26.0,36.0
female,second,attacker,29.9,5.0,164.3,56.1,21.21,99.0
female,second,attacker,26.3,9.0,164.7,61.4,24.71,78.0
female,second,attacker,20.4,8.0,160.8,51.4,25.47,51.0
female,second,attacker,21.9,10.0,167.6,55.8,24.08,52.0
female,second,attacker,25.0,8.0,164.3,55.1,22.23,66.0
female,second,attacker,31.5,8.0,159.8,57.9,23.12,105.0
female,second,attacker,22.3,4.0,167.8,53.5,22.81,54.0
female,second,attacker,20.9,6.0,166.1,55.9,25.33,71.0
female,second,attacker,25.1,7.0,162.4,60.3,22.85,81.0
female,second,attacker,18.4,7.0,163.3,52.4,25.25,32.0
female,second,attacker,22.1,8.0,157.6,51.3,23.13,60.0
female,second,attacker,20.0,6.0,157.4,52.1,22.05,70.0
female,second,attacker,26.9,6.0,168.7,61.2,20.06,80.0
female,second,attacker,20.4,8.0,163.4,57.4,22.35,45.0
female,second,attacker,31.6,9.0,162.3,59.9,21.83,108.0
female,second,attacker,19.5,9.0,166.7,62.7,22.17,41.0
female,second,attacker,34.6,8.0,165.4,58.0,21.13,136.0
female,second,attacker,29.9,6.0,167.8,57.0,18.65,117.0
female,second,attacker,28.0,12.0,169.9,62.0,24.05,76.0
female,second,attacker,32.9,11.0,167.4,60.3,22.27,103.0
female,second,attacker,22.0,9.0,167.0,51.8,25.06,55.0
female,second,attacker,17.1,5.0,166.1,53.3,23.02,36.0
female,second,attacker,24.8,8.0,163.5,56.7,23.81,77.0
female,second,attacker,25.1,9.0,162.1,52.1,24.61,77.0
female,second,attacker,30.1,8.0,165.6,58.0,24.4,92.0
female,second,attacker,22.0,9.0,170.1,57.8,22.71,32.0
female,second,attacker,23.5,11.0,162.5,53.4,24.6,49.0
female,second,attacker,18.8,6.0,162.4,50.8,22.45,53.0
female,second,attacker,27.6,10.0,169.8,66.2,21.96,78.0
female,second,attacker,26.8,11.0,158.0,48.1,24.37,77.0
female,second,attacker,26.0,14.0,165.3,52.5,25.52,51.0
female,second,attacker,18.1,10.0,167.9,58.3,23.3,18.0
female,second,attacker,23.1,7.0,161.7,52.8,26.13,46.0
female,second,attacker,22.1,9.0,159.0,51.8,25.88,41.0
female,second,attacker,28.4,11.0,162.1,54.8,25.31,65.0
female,second,attacker,20.5,11.0,169.7,62.3,22.23,48.0
female,second,attacker,21.9,4.0,164.4,56.9,19.87,86.0
female,second,attacker,26.5,7.0,167.6,60.7,24.48,57.0
female,second,attacker,24.9,9.0,165.5,61.3,21.6,78.0
female,second,attacker,30.4,12.0,164.9,53.6,24.28,85.0
female,second,attacker,20.0,8.0,166.8,58.0,27.28,56.0
female,second,attacker,22.9,12.0,165.3,54.1,27.43,39.0
female,second,attacker,17.9,7.0,163.1,54.3,25.33,23.0
female,second,attacker,20.2,7.0,158.1,50.6,23.78,64.0
female,second,attacker,33.0,13.0,164.4,66.0,23.37,80.0
female,second,attacker,25.0,10.0,164.2,59.4,24.27,49.0
female,second,attacker,34.4,11.0,165.8,55.1,24.85,89.0
female,second,attacker,25.8,5.0,159.6,52.3,24.83,82.0
female,second,attacker,23.4,8.0,170.0,58.7,21.94,63.0
female,second,attacker,17.9,9.0,166.4,54.9,28.21,23.0
female,second,attacker,32.3,10.0,163.9,56.0,23.34,107.0
female,second,attacker,18.5,7.0,166.5,53.6,21.84,29.0
female,second,attacker,20.8,2.0,168.1,60.7,18.33,75.0
female,second,attacker,25.3,13.0,164.0,56.1,25.45,51.0
female,second,attacker,19.1,7.0,167.2,63.7,23.46,50.0
female,second,attacker,23.9,7.0,163.1,55.4,23.43,56.0
female,second,attacker,29.0,12.0,165.1,57.2,24.33,92.0
female,second,attacker,24.7,12.0,166.3,59.3,24.24,50.0
female,second,attacker,23.3,6.0,167.6,59.5,24.1,60.0
female,second,attacker,29.4,10.0,161.2,42.1,22.39,96.0
female,second,attacker,29.4,9.0,162.8,53.9,23.23,92.0
