Sex,Sample ID,Month,Season,Year,Site,Ad_Atlantic_Salmon,Ad_cutthroat_trout,Ad_dolly_varden,Ad_Chinook_salmon,Ad_chum_salmon,Ad_coho_salmon,Ad_pink_salmon,Ad_sockeye_salmon,Ad_steelhead,American_Shad,Atka_Mackerel,Bathyraja_interrupta,Bay_Goby,Bering_Flounder,Big_Skate,Blackbelly_Eelpout,Buffalo_Sculpin,Butter_Sole,Cabezon,California_Market_Squid,Capelin,China_Rockfish,Dover_Sole,Dungeness_crab,English_Sole,Eulachon,Giant_Pacific_Octopus,Giant_Wrymouth,Great_Sculpin,Juv_Atlantic_salmon,Juv_Chinook_salmon,Juv_chum_salmon,Juv_coho_salmon,Juv_cutthroat_trout,Juv_dolly_varden,Juv_pink_salmon_,Juv_sockeye_salmon,Juv_steelhead,Kelp_Greenling,Lingcod,Longfin_Smelt,Longspine_Combfish,Magister_armhook_squid,Northern_Anchovy,Northern_Clingfish,Northern_Smoothtongue,Pacific_Cod,Pacific_Hake,Pacific_Halibut,Pacific_Herring,Pacific_Red_Octopus,Pacific_Sand_Lance,Pacific_Sandfish,Pacific_Staghorn_Sculpin,Pacific_Tomcod,Padded_Sculpin,Pile_Surfperch,Plainfin_Midshipman,Prickly_Sculpin,Puget_Sound_Rockfish,Red_Irish_Lord,River_Lamprey,Rock_Gunnel,Sablefish,Saddleback_Gunnel,Sand_Sole,Shiner_Surfperch,Snake_Prickleback,Speckled_Sanddab,Spiny_Dogfish,Spotted_Ratfish,Starry_Flounder,Striped_Surfperch,Surf_Smelt,Tadpole_Sculpin,Threespine_Stickleback,Walleye_Pollock,Whitebait_Smelt,Whitespotted_Greenling,Wolf_Eel,,Batrachoidiformes,Cephalopoda,Chimaeriformes,Clupeiformes,Crustacea,Gadiformes,Gasterosteiformes,Gobiesociformes,Osmeriformes,Perciformes,Petromyzontiformes,Pleuronectiformes,Rajiformes,Salmoniformes,Scorpaeniformes,Squaliformes
M,Pv12.026,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
M,Pv12.025,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,7.352941176,0,1.470588235,0,0,5.882352941,0,0,0,0,1.470588235,0,0,1.470588235,0,1.470588235,0,0,0,0,0,0,0,0,0,0,0,13.23529412,0,0,0,0,0,1.470588235,0,0,1.470588235,0,1.470588235,0,45.58823529,0,0,0,0,1.470588235,0,0,0,0,0,0,1.470588235,0,0,0,0,0,2.941176471,0,0,0,1.470588235,0,0,0,0,10.29411765,0,0,0,,0,2.94117647,0,52.94117647,0,13.23529412,0,0,1.470588235,2.941176471,1.470588235,4.411764705,7.352941176,13.23529412,0,0
M,Pv12.022,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.78014184,0,0,0,0,0,0,88.08510638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134751773,0,0,0,,0,10.78014184,0,88.08510638,0,1.134751773,0,0,0,0,0,0,0,0,0,0
M,Pv12.021,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.735751295,0,0,0,0,0,0,93.2642487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6.735751295,0,93.2642487,0,0,0,0,0,0,0,0,0,0,0,0
M,Pv12.019,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.38240575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.540394973,0,0,0,0,0,0,0,0,0,1.077199282,0,0,0,,0,0,0,91.38240575,0,1.077199282,0,0,0,7.540394973,0,0,0,0,0,0
M,Pv12.018,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,3.225806452,0,0,0,0,0,0,6.451612904,0,1.612903226,0,0,0,8.06451613,3.225806452,0,0,0,0,3.225806452,0,0,3.225806452,0,3.225806452,0,32.25806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,22.58064516,0,0,0,,0,3.225806452,0,38.70967742,3.225806452,25.80645161,3.225806452,0,3.225806452,0,0,0,3.225806452,19.35483871,0,0
M,Pv12.017,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.205882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02941177,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.411764706,70.58823529,0,0,0,0,0,0,0,0,1.470588235,0,0,0,,0,0,0,10.29411765,0,1.470588235,0,0,0,75,0,0,2.205882353,11.02941177,0,0
M,Pv12.016,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701426234,0.058452186,0.277647884,0,0,0.073065233,0.014613047,0.248421791,0,0,0,0,0,0,0,0,0,0,0,98.62637363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,98.62637363,0,0,0,0,0,0,0,0,0,1.373626375,0,0
M,Pv12.015,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,4.87804878,0,0,0,0,7.317073171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63414634,0,0,0,0,0,0,0,0,2.43902439,0,2.43902439,0,29.26829268,0,0,0,2.43902439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87804878,12.19512195,0,0,0,4.87804878,14.63414634,0,0,0,,0,0,4.87804878,34.14634146,0,17.07317073,4.87804878,0,2.43902439,0,0,12.19512195,7.317073171,14.63414634,2.43902439,0
M,Pv12.014,5,spring,2012,Comox,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,2.083333333,0,0,0,0,0,0,0,2.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,4.166666667,0,0,6.25,2.083333333,8.333333333,0,39.58333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333,0,0,0,0,2.083333333,0,0,0,0,2.083333333,8.333333333,0,0,0,,0,4.166666667,2.083333333,43.75,0,18.75,2.083333333,0,6.25,0,0,4.166666666,2.083333333,16.66666667,0,0
F,Pv12.101,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.38856227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74291823,25.86851951,0,0,0,,0,0,0,63.38856227,0,25.86851951,10.74291823,0,0,0,0,0,0,0,0,0
F,Pv12.099,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.510334594,0,0.495236076,0,0,0.239079485,1.007549259,0,0,0,0,0,0,0,0,0,0,0,0,21.1143695,0,0,0,0,25.65982405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.97360704,0,0,0,,0,0,0,21.1143695,0,74.63343109,0,0,0,0,0,0,0,4.252199414,0,0
F,Pv12.097,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,1.923076923,0,0,0,1.923076923,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14847943,0,2.504472271,0,0,1.878354204,8.139534882,1.252236136,0,3.846153846,0,0,0,0,0,0,5.769230769,3.846153846,0,28.84615385,0,0,0,5.769230769,0,0,0,1.923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846153846,0,0,3.846153846,1.923076923,7.692307692,0,0,0,,1.923076923,0,0,30.76923077,0,17.30769231,1.923076923,0,0,1.923076923,0,5.769230769,0,26.92307692,13.46153846,0
F,Pv12.092,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.976744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.794369645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.88249694,0,0,0,0,1.346389229,0,0,0,,0,0,0,3.794369645,0,1.346389229,0,0,0,0,0,94.85924113,0,0,0,0
F,Pv12.090,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.91304348,0,0,0,0,0,0.850661626,0.189035917,0.56710775,0,0,0.189035917,0,0.378071834,0,0,0,0,0,0,0,0,0,0,0,7.608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.86956522,0,0,0,0,5.434782609,0,0,0,,0,0,0,7.608695652,0,5.434782609,0,0,0,0,0,84.7826087,0,2.173913044,0,0
F,Pv12.089,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,1.212121212,0,0,0,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769230769,0.20979021,0.27972028,0,0,0.06993007,0,0.489510489,0,0,0,0,0,0,0,1.212121212,0,1.212121212,0,83.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.696969697,0,0,0,,0,0,0,84.24242424,0,10.90909091,0,0,1.212121212,0,0,0,1.818181818,1.818181818,0,0
F,Pv12.084,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
F,Pv12.083,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.882683357,0.441341679,0.662012518,0,0,0,0.662012518,0,0,0,0,0,0,0,0,0,0,0,0,1.396244584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.95570534,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1.396244584,0,0,0,0,0,95.95570534,0,0,0,2.648050072,0,0
F,Pv12.082,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,2.597402597,0,0,0,0,1.298701299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.298701299,23.37662338,23.37662338,0,0,0,0,0,0,0,0,0,0,0,0,1.298701299,0,5.194805195,0,27.27272727,0,1.298701299,0,0,0,0,0,0,0,0,0,2.597402597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.38961039,0,0,0,,0,0,0,29.87012987,0,15.58441559,0,0,1.298701299,1.298701299,2.597402597,0,1.298701299,48.05194806,0,0
F,Pv12.080,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.480263645,68.76249722,0,0,25.75723913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
F,Pv12.073,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,1.075268817,0,1.075268817,0,0,2.150537634,0,0,0,0,0,0,0,1.075268817,0,0,1.075268817,0,0,0,0,1.075268817,0,1.075268817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.150537634,0,9.677419355,0,58.06451613,0,1.075268817,1.075268817,0,0,0,0,0,0,1.075268817,0,0,0,0,2.150537634,1.075268817,0,0,0,0,0,0,0,15.05376344,0,0,0,0,,0,0,0,10.75268817,0,3.225806451,15.05376344,0,1.075268817,61.29032258,1.075268817,1.075268817,3.225806451,2.150537634,1.075268817,0
M,Pv12.102,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
M,Pv12.100,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
M,Pv12.098,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
M,Pv12.096,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
M,Pv12.095,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,4.494382022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48314607,0,0,0,0,0,0,0,0,1.123595506,0,5.617977528,0,48.31460674,0,0,0,0,0,0,0,0,0,0,0,2.247191011,0,0,0,0,0,1.123595506,0,0,1.123595506,0,0,1.123595506,0,3.370786517,17.97752809,0,0,0,,0,0,1.123595506,52.80898876,0,23.59550562,3.370786517,0,2.247191012,1.123595506,2.247191011,0,0,13.48314607,0,0
M,Pv12.094,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.07977208,0,1.495726496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.424501425,0,0,0,,0,0,0,1.495726496,0,98.50427351,0,0,0,0,0,0,0,0,0,0
M,Pv12.093,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.64476623,36.73639009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.61884368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,33.61884368,0,0,0,0,0,0,0,0,0,66.38115632,0,0
M,Pv12.091,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.38812785,0,0,0,0,15.4109589,0,0,6.849315068,0,0,0,0,0,0,16.32420091,0,0,0,0,0,0,0,0,0,0,0,1.02739726,0,0,0,,6.849315068,0,0,60.38812785,0,16.43835616,0,0,0,16.32420091,0,0,0,0,0,0
M,Pv12.088,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.20240983,4.300616839,45.13549819,0,0,4.95095402,0,3.891533774,0,0,0,0,0,0,0,0,0,0,0,21.51898734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,21.51898734,0,0,0,0,0,0,0,0,0,78.48101265,0,0
M,Pv12.087,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.32713755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.672862454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1.672862454,0,0,0,0,0,0,0,0,0,98.32713755,0,0
M,Pv12.086,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.612903226,0,0,0,0,0,0,0,0,0,2.419354839,0,0,0,0,0,0,1.612903226,0,0,0,66.93548387,0,0,0,0,0,0,0,0,0,0,0,1.612903226,0,15.32258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48387097,0,0,0,,0,0,0,15.32258065,0,12.0967742,0,0,0,0,0,2.419354839,1.612903226,68.5483871,0,0
M,Pv12.085,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.48760331,0,0,0,0,0,1.239669421,0,0,8.67768595,0,0,0,0,0,0,0,0,0,0,0,1.652892562,0,10.33057851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.239669421,5.371900826,0,0,0,,0,71.48760331,0,10.33057851,0,7.024793388,1.239669421,0,0,0,0,0,0,9.917355371,0,0
M,Pv12.081,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.21955896,0,2.780441035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2.780441035,0,97.21955896,0,0,0,0,0,0,0,0,0,0
M,Pv12.079,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,1.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212885154,3.93837535,1.277310924,2.448179272,0,0,1.490196078,0,1.490196078,0,0,0,0,0,0,0,0,0,0,0,22.28571429,0,37.14285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0,0,1.142857143,0,0,0,0,3.428571429,22.85714286,0,0,0,,0,0,1.142857143,23.42857143,0,22.85714286,3.428571429,0,0,38.28571428,0,0,0,10.85714286,0,0
M,Pv12.078,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,1.5625,0,0,0,0,1.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,1.25,0,15.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.3125,0,0,0,0,0,0,0,0,3.4375,0,0,0,,0,0,0,16.875,0,4.6875,0,0,1.25,75.3125,0,0,1.875,0,0,0
M,Pv12.077,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
M,Pv12.076,6,spring,2012,Comox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
