MSZoning,LotArea,Street,LandContour,Utilities,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
RL,10552,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,5,1959,1959,TA,TA,CBlock,1018,0,380,1398,GasA,Gd,Y,1700,0,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,2,447,Y,0,38,0,0,0,0,0,4,2010,Normal,165500
RL,7313,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,9,5,2005,2005,Ex,TA,PConc,1153,0,408,1561,GasA,Ex,Y,1561,0,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,2,556,Y,203,47,0,0,0,0,0,8,2007,Normal,277500
RL,13418,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,2004,2005,Gd,TA,PConc,0,0,1117,1117,GasA,Ex,Y,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,3,691,Y,113,32,0,0,0,0,0,9,2006,Normal,309000
RL,10859,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,5,1994,1995,TA,TA,PConc,0,0,1097,1097,GasA,Ex,Y,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,0,2,672,Y,392,64,0,0,0,0,0,6,2009,Normal,145000
RL,8532,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1954,1990,TA,TA,CBlock,1213,0,84,1297,GasA,Gd,Y,1297,0,0,1297,0,1,1,0,3,1,TA,5,Typ,1,2,498,Y,0,0,0,0,0,0,0,10,2009,Normal,153000
RL,7922,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,7,1953,2007,TA,Gd,CBlock,731,0,326,1057,GasA,TA,Y,1057,0,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,1,246,Y,0,52,0,0,0,0,0,1,2010,Abnorml,109000
RL,6040,Pave,Lvl,AllPub,Gtl,Duplex,1Story,4,5,1955,1955,TA,TA,PConc,0,0,0,0,GasA,TA,N,1152,0,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,0,0,N,0,0,0,0,0,0,0,6,2008,AdjLand,82000
RL,8658,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,5,1965,1965,TA,TA,CBlock,643,0,445,1088,GasA,Ex,Y,1324,0,0,1324,0,0,2,0,3,1,TA,6,Typ,1,2,440,Y,0,138,0,0,0,0,0,12,2006,Abnorml,160000
RL,16905,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1959,1959,TA,Gd,CBlock,967,0,383,1350,GasA,Gd,Y,1328,0,0,1328,0,1,1,1,2,1,TA,5,Typ,2,1,308,P,0,104,0,0,0,0,0,7,2007,Normal,170000
RL,9180,Pave,Lvl,AllPub,Gtl,1Fam,SFoyer,5,7,1983,1983,TA,TA,CBlock,747,93,0,840,GasA,Gd,Y,884,0,0,884,1,0,1,0,2,1,Gd,5,Typ,0,2,504,Y,240,0,0,0,0,0,0,12,2007,Normal,144000
RL,9200,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1975,1980,TA,TA,CBlock,280,491,167,938,GasA,TA,Y,938,0,0,938,1,0,1,0,3,1,TA,5,Typ,0,1,308,Y,145,0,0,0,0,0,0,7,2008,Normal,130250
RL,7945,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,6,1959,1959,TA,TA,CBlock,179,506,465,1150,GasA,Ex,Y,1150,0,0,1150,1,0,1,0,3,1,TA,6,Typ,0,1,300,Y,0,0,0,0,0,0,0,5,2006,Normal,141000
RL,7658,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,9,5,2005,2005,Ex,TA,PConc,456,0,1296,1752,GasA,Ex,Y,1752,0,0,1752,1,0,2,0,2,1,Ex,6,Typ,1,2,576,Y,196,82,0,0,0,0,0,2,2010,Normal,319900
RL,12822,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,7,5,2003,2003,Gd,TA,PConc,1351,0,83,1434,GasA,Ex,Y,1518,631,0,2149,1,0,1,1,1,1,Gd,6,Typ,1,2,670,Y,168,43,0,0,198,0,0,8,2009,Abnorml,239686
FV,11096,Pave,Lvl,AllPub,Gtl,1Fam,1Story,8,5,2006,2006,Gd,TA,PConc,24,0,1632,1656,GasA,Ex,Y,1656,0,0,1656,0,0,2,0,3,1,Gd,7,Typ,0,3,826,Y,0,146,0,0,0,0,0,7,2007,Normal,249700
RM,4456,Pave,Lvl,AllPub,Gtl,2fmCon,2Story,4,5,1920,2008,TA,TA,BrkTil,0,0,736,736,GasA,Gd,Y,736,716,0,1452,0,0,2,0,2,3,TA,8,Typ,0,0,0,N,0,0,102,0,0,0,0,6,2009,Partial,113000
RL,7742,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,7,1966,1966,TA,TA,CBlock,763,0,192,955,GasA,Ex,Y,955,0,0,955,1,0,1,0,3,1,TA,6,Typ,0,1,386,Y,0,0,0,0,0,0,0,1,2007,Normal,127000
RL,13869,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,6,1997,1997,TA,TA,PConc,182,0,612,794,GasA,Gd,Y,794,676,0,1470,0,1,2,0,3,1,TA,6,Typ,0,2,388,Y,0,75,0,0,0,0,0,7,2007,Normal,177000
RM,6240,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,6,6,1934,1950,TA,TA,PConc,0,0,816,816,GasA,TA,Y,816,0,360,1176,0,0,1,0,3,1,TA,6,Typ,1,2,528,Y,112,0,0,0,0,0,400,9,2006,Normal,114500
RM,8472,Grvl,Bnk,AllPub,Mod,Duplex,1Story,5,5,1963,1963,Fa,TA,CBlock,104,712,0,816,GasA,TA,N,816,0,0,816,1,0,1,0,2,1,TA,5,Typ,0,2,516,Y,106,0,0,0,0,0,0,5,2010,Normal,110000
RL,50271,Pave,Low,AllPub,Gtl,1Fam,1Story,9,5,1981,1987,Gd,TA,CBlock,1810,0,32,1842,GasA,Gd,Y,1842,0,0,1842,2,0,0,1,0,1,Gd,5,Typ,1,3,894,Y,857,72,0,0,0,0,0,11,2006,Normal,385000
RL,7134,Pave,Bnk,AllPub,Mod,1Fam,SLvl,5,5,1955,1955,TA,TA,CBlock,384,0,0,384,GasA,TA,Y,1360,0,0,1360,0,0,1,0,3,1,TA,6,Min1,1,2,572,Y,0,50,0,0,0,0,0,2,2007,Normal,130000
RL,10175,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,5,1964,1964,TA,TA,CBlock,490,0,935,1425,GasA,Gd,Y,1425,0,0,1425,0,0,2,0,3,1,TA,7,Typ,1,2,576,Y,0,0,0,407,0,0,0,7,2008,Normal,180500
FV,2645,Pave,Lvl,AllPub,Gtl,Twnhs,2Story,8,5,1999,2000,Gd,TA,PConc,649,0,321,970,GasA,Ex,Y,983,756,0,1739,1,0,2,1,3,1,Gd,7,Typ,0,2,480,Y,115,0,0,0,0,0,0,8,2009,Abnorml,172500
RL,11645,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,2004,2004,Gd,TA,PConc,0,0,860,860,GasA,Ex,Y,860,860,0,1720,0,0,2,1,3,1,Gd,7,Typ,0,2,565,Y,0,70,0,0,0,0,0,8,2006,Normal,196500
RL,13682,Pave,HLS,AllPub,Gtl,1Fam,2Story,10,5,2006,2006,Ex,TA,PConc,0,0,1410,1410,GasA,Ex,Y,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,Typ,1,3,641,Y,192,0,37,0,0,0,0,10,2006,Partial,438780
RL,7200,Pave,Bnk,AllPub,Gtl,1Fam,1Story,5,7,1972,1972,TA,TA,CBlock,632,0,148,780,GasA,Ex,Y,780,0,0,780,0,0,1,0,2,1,TA,4,Typ,0,1,352,Y,196,0,0,0,0,0,0,1,2008,Normal,124900
RL,13072,Pave,Lvl,AllPub,Gtl,1Fam,1Story,6,5,2004,2004,TA,TA,PConc,941,0,217,1158,GasA,Ex,Y,1158,0,0,1158,1,0,1,1,3,1,Gd,5,Typ,0,2,576,Y,0,50,0,0,0,0,0,5,2006,Partial,158000
RM,7200,Pave,Lvl,AllPub,Gtl,1Fam,2.5Unf,5,7,1920,1996,TA,TA,BrkTil,0,0,530,530,GasA,TA,N,581,530,0,1111,0,0,1,0,3,1,Fa,6,Typ,0,1,288,N,0,0,144,0,0,0,0,3,2007,Normal,101000
RL,6442,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,8,5,2006,2006,Gd,TA,PConc,24,0,1346,1370,GasA,Ex,Y,1370,0,0,1370,0,0,2,0,2,1,Gd,6,Typ,1,2,484,Y,120,49,0,0,0,0,0,10,2007,Normal,202500
RM,10300,Pave,Bnk,AllPub,Gtl,1Fam,2Story,7,6,1921,1950,TA,TA,BrkTil,0,0,576,576,GasA,Gd,Y,902,808,0,1710,0,0,2,0,3,1,TA,9,Typ,0,2,480,Y,12,11,64,0,0,0,0,4,2010,Normal,140000
RL,9375,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,1997,1998,TA,TA,PConc,739,0,318,1057,GasA,Ex,Y,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,0,2,645,Y,576,36,0,0,0,0,0,2,2009,Normal,219500
RL,9591,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,2004,2005,Gd,TA,PConc,0,0,1143,1143,GasA,Ex,Y,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,Typ,1,3,852,Y,192,151,0,0,0,0,0,10,2007,Normal,317000
RL,19900,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,1970,1989,TA,TA,CBlock,912,0,1035,1947,GasA,TA,Y,2207,0,0,2207,1,0,2,0,3,1,TA,7,Min1,1,2,576,Y,301,0,0,0,0,0,0,7,2010,Normal,180000
RL,10665,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,5,2003,2003,Gd,TA,PConc,1013,0,440,1453,GasA,Ex,Y,1479,0,0,1479,1,0,2,0,3,1,Gd,7,Typ,0,2,558,Y,144,29,0,0,0,0,0,6,2007,Normal,226000
RM,4608,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,6,1945,1950,TA,Gd,CBlock,0,0,747,747,GasA,TA,Y,747,0,0,747,0,0,1,0,2,1,TA,4,Typ,0,1,220,Y,0,0,0,0,0,0,0,6,2010,Normal,80000
RL,15593,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,7,4,1953,1953,Gd,TA,CBlock,603,0,701,1304,GasW,TA,Y,1304,983,0,2287,0,0,2,0,3,1,TA,7,Typ,1,2,667,Y,0,21,114,0,0,0,0,7,2006,Normal,225000
RL,13651,Pave,Lvl,AllPub,Gtl,1Fam,1Story,7,6,1973,1973,TA,Gd,CBlock,1880,0,343,2223,GasA,Ex,Y,2223,0,0,2223,1,0,2,0,3,1,TA,8,Typ,2,2,516,Y,300,0,0,0,0,0,0,2,2007,Normal,244000
RL,7599,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,6,1982,2006,TA,TA,CBlock,565,0,280,845,GasA,TA,Y,845,0,0,845,1,0,1,0,2,1,TA,4,Typ,0,2,360,Y,0,0,0,0,0,0,0,6,2007,Normal,129500
RL,10141,Pave,Lvl,AllPub,Gtl,1Fam,2Story,7,5,1998,1998,TA,TA,PConc,0,0,832,832,GasA,Gd,Y,885,833,0,1718,0,0,2,1,3,1,TA,7,Typ,1,2,427,Y,0,94,0,0,291,0,0,12,2009,Normal,185000
RL,10200,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,7,1954,2003,TA,TA,CBlock,320,362,404,1086,GasA,Gd,Y,1086,0,0,1086,1,0,1,0,3,1,TA,6,Typ,0,2,490,Y,0,0,0,0,0,0,0,5,2010,Normal,144900
RM,5790,Pave,Lvl,AllPub,Gtl,1Fam,2Story,3,6,1915,1950,Gd,Gd,CBlock,0,0,840,840,GasA,Gd,N,840,765,0,1605,0,0,2,0,3,2,TA,8,Typ,0,1,379,Y,0,0,202,0,0,0,0,5,2010,Normal,107400
RM,1596,Pave,Lvl,AllPub,Gtl,Twnhs,SLvl,4,5,1973,1973,TA,TA,CBlock,462,0,0,462,GasA,TA,Y,526,462,0,988,1,0,1,0,2,1,TA,5,Typ,0,1,297,Y,120,101,0,0,0,0,0,11,2009,Normal,91000
RL,8475,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,7,1956,1956,TA,TA,CBlock,228,0,724,952,GasA,Ex,Y,952,0,0,952,0,0,1,0,2,1,TA,4,Typ,0,1,283,Y,0,0,0,0,0,0,0,4,2008,Normal,135750
RM,8635,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,5,5,1948,2001,TA,TA,CBlock,336,41,295,672,GasA,TA,Y,1072,213,0,1285,1,0,1,0,2,1,TA,6,Min1,0,1,240,Y,0,0,0,0,0,0,0,1,2008,Normal,127000
RL,10778,Pave,Lvl,AllPub,Gtl,Duplex,1Story,4,5,1968,1968,TA,TA,CBlock,0,0,1768,1768,GasA,TA,N,1768,0,0,1768,0,0,2,0,4,2,TA,8,Typ,0,0,0,Y,0,0,0,0,0,0,0,4,2010,Normal,136500
RM,10440,Pave,Lvl,AllPub,Gtl,1Fam,2Story,5,6,1910,1981,TA,TA,PConc,0,0,440,440,GasA,Gd,Y,682,548,0,1230,0,0,1,1,2,1,TA,5,Typ,0,2,440,Y,74,0,128,0,0,0,0,5,2009,Normal,110000
RL,13000,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,6,1968,1968,TA,Gd,CBlock,448,0,448,896,GasA,TA,Y,1182,960,0,2142,0,0,2,1,4,1,Gd,8,Typ,1,1,509,Y,0,72,0,0,252,0,0,6,2009,Normal,193500
RM,4500,Pave,Lvl,AllPub,Gtl,TwnhsE,1Story,6,5,1998,1998,TA,Gd,PConc,1201,0,36,1237,GasA,Ex,Y,1337,0,0,1337,1,0,2,0,2,1,TA,5,Typ,0,2,405,Y,0,199,0,0,0,0,0,3,2006,Normal,153500
RL,10206,Pave,Lvl,AllPub,Gtl,1Fam,1Story,8,5,2007,2007,TA,TA,PConc,33,0,1530,1563,GasA,Ex,Y,1563,0,0,1563,0,0,2,0,3,1,Gd,6,Typ,1,3,758,Y,144,99,0,0,0,0,0,10,2008,Normal,245000
RL,8892,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,5,1960,1960,TA,TA,CBlock,0,0,1065,1065,GasA,Gd,Y,1065,0,0,1065,0,0,1,1,3,1,TA,6,Typ,0,2,461,Y,74,0,0,0,0,0,0,7,2007,Normal,126500
RL,8530,Pave,Lvl,AllPub,Gtl,1Fam,SLvl,7,5,1995,1996,TA,TA,PConc,0,0,384,384,GasA,Gd,Y,804,670,0,1474,0,0,2,1,3,1,TA,7,Typ,1,2,400,Y,120,72,0,0,0,0,700,5,2009,Normal,168500
RL,16059,Pave,Lvl,AllPub,Gtl,1Fam,2Story,8,5,1991,1992,Gd,TA,CBlock,0,0,1288,1288,GasA,Ex,Y,1301,1116,0,2417,0,0,2,1,4,1,Gd,9,Typ,1,2,462,Y,127,82,0,0,0,0,0,4,2006,Normal,260000
RL,11911,Pave,Lvl,AllPub,Gtl,1Fam,2Story,6,5,2005,2005,Gd,TA,PConc,0,0,684,684,GasA,Ex,Y,684,876,0,1560,0,0,2,1,3,1,Gd,6,Typ,1,2,400,Y,100,38,0,0,0,0,0,3,2009,Normal,174000
FV,3951,Pave,Lvl,AllPub,Gtl,TwnhsE,2Story,6,5,2009,2009,Gd,TA,PConc,0,0,612,612,GasA,Ex,Y,612,612,0,1224,0,0,2,1,2,1,Gd,4,Typ,0,2,528,Y,0,234,0,0,0,0,0,6,2009,Partial,164500
C (all),8470,Pave,Lvl,AllPub,Gtl,1Fam,1.5Fin,3,2,1915,1982,Fa,Fa,CBlock,0,0,1013,1013,GasA,TA,N,1013,0,513,1526,0,0,1,0,2,1,Fa,6,Typ,0,0,0,N,0,0,156,0,0,0,0,10,2009,Abnorml,85000
RL,8070,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,5,1994,1995,TA,TA,PConc,588,0,402,990,GasA,Ex,Y,990,0,0,990,1,0,1,0,3,1,TA,5,Typ,0,0,0,Y,0,0,0,0,0,0,0,8,2007,Normal,123600
RL,7200,Pave,Lvl,AllPub,Gtl,1Fam,1Story,4,5,1950,1950,TA,TA,Slab,0,0,0,0,GasA,TA,Y,1040,0,0,1040,0,0,1,0,2,1,TA,4,Typ,0,2,420,Y,0,29,0,0,0,0,0,7,2006,Normal,109900
RL,8500,Pave,Lvl,AllPub,Gtl,1Fam,1Story,5,3,1961,1961,TA,TA,CBlock,600,0,635,1235,GasA,TA,Y,1235,0,0,1235,0,0,1,0,2,1,TA,6,Typ,0,2,480,Y,0,0,0,0,0,0,0,12,2006,Abnorml,98600
RL,13360,Pave,HLS,AllPub,Gtl,1Fam,1Story,5,7,1921,2006,TA,Gd,BrkTil,713,0,163,876,GasA,Ex,Y,964,0,0,964,1,0,1,0,2,1,TA,5,Typ,0,2,432,Y,0,0,44,0,0,0,0,8,2009,Normal,163500
C (all),7200,Pave,Lvl,AllPub,Gtl,2fmCon,2.5Unf,6,6,1910,1998,TA,TA,BrkTil,1046,0,168,1214,GasW,Ex,N,1260,1031,0,2291,0,1,2,0,4,2,TA,9,Typ,1,2,506,Y,0,0,0,0,99,0,0,11,2007,Normal,133900
