LotArea,Street,LandContour,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice
11200,Pave,Lvl,Gtl,1Fam,1Story,5,5,1965,1965,TA,TA,CBlock,GasA,Ex,Y,1040,0,0,1040,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,2,2008,Normal,129500.0
11924,Pave,Lvl,Gtl,1Fam,2Story,9,5,2005,2006,Ex,TA,PConc,GasA,Ex,Y,1182,1142,0,2324,3,0,4,1,11,2,Y,147,21,0,0,0,0,0,7,2006,Partial,345000.0
12968,Pave,Lvl,Gtl,1Fam,1Story,5,6,1962,1962,TA,TA,CBlock,GasA,TA,Y,912,0,0,912,1,0,2,1,4,0,Y,140,0,0,0,176,0,0,9,2008,Normal,144000.0
10652,Pave,Lvl,Gtl,1Fam,1Story,7,5,2006,2007,Gd,TA,PConc,GasA,Ex,Y,1494,0,0,1494,2,0,3,1,7,1,Y,160,33,0,0,0,0,0,8,2007,Partial,279500.0
10920,Pave,Lvl,Gtl,1Fam,1Story,6,5,1960,1960,TA,TA,CBlock,GasA,TA,Y,1253,0,0,1253,1,1,2,1,5,1,Y,0,213,176,0,0,0,0,5,2008,Normal,157000.0
6120,Pave,Lvl,Gtl,1Fam,1.5Unf,7,8,1929,2001,TA,TA,BrkTil,GasA,Ex,Y,854,0,0,854,1,0,2,1,5,0,Y,48,112,0,0,0,0,0,7,2007,Normal,132000.0
11241,Pave,Lvl,Gtl,1Fam,1Story,6,7,1970,1970,TA,TA,CBlock,GasA,Ex,Y,1004,0,0,1004,1,0,2,1,5,1,Y,0,0,0,0,0,0,700,3,2010,Normal,149000.0
10791,Pave,Lvl,Gtl,Duplex,1Story,4,5,1967,1967,TA,TA,Slab,GasA,TA,Y,1296,0,0,1296,2,0,2,2,6,0,Y,0,0,0,0,0,0,500,10,2006,Normal,90000.0
13695,Pave,Lvl,Gtl,1Fam,1Story,5,5,2004,2004,TA,TA,PConc,GasA,Ex,Y,1114,0,0,1114,1,1,3,1,6,0,Y,0,102,0,0,0,0,0,6,2008,Normal,159000.0
7560,Pave,Lvl,Gtl,1Fam,1Story,5,6,1958,1965,TA,TA,CBlock,GasA,TA,Y,1339,0,0,1339,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,5,2009,Abnorml,139000.0
14215,Pave,Lvl,Gtl,1Fam,2Story,8,5,2005,2006,Gd,TA,PConc,GasA,Ex,Y,1158,1218,0,2376,3,1,4,1,9,1,Y,240,154,0,0,0,0,0,11,2006,Partial,325300.0
7449,Pave,Bnk,Gtl,1Fam,1.5Unf,7,7,1930,1950,TA,TA,PConc,GasA,Ex,Y,1108,0,0,1108,1,0,3,1,6,1,N,0,0,205,0,0,0,0,6,2007,Normal,139400.0
9742,Pave,Lvl,Gtl,1Fam,1Story,8,5,2002,2002,Gd,TA,PConc,GasA,Ex,Y,1795,0,0,1795,2,0,3,1,7,1,Y,171,159,0,0,0,0,0,9,2008,Normal,230000.0
4224,Pave,Lvl,Gtl,TwnhsE,1Story,5,7,1976,1976,TA,TA,PConc,GasA,TA,Y,1060,0,0,1060,1,0,3,1,6,1,Y,100,110,0,0,0,0,0,6,2007,Normal,129900.0
8246,Pave,Lvl,Gtl,1Fam,1Story,5,8,1968,2001,TA,Gd,CBlock,GasA,Ex,Y,1060,0,0,1060,1,0,3,1,6,1,Y,406,90,0,0,0,0,0,5,2010,Normal,154000.0
14230,Pave,Lvl,Gtl,1Fam,1Story,8,5,2007,2007,Gd,TA,PConc,GasA,Ex,Y,1600,0,0,1600,2,0,3,1,7,1,Y,0,56,0,0,0,0,0,7,2009,Normal,256300.0
7200,Pave,Lvl,Gtl,1Fam,1Story,5,7,1951,2000,TA,TA,CBlock,GasA,TA,Y,900,0,0,900,1,0,3,1,5,0,Y,222,32,0,0,0,0,0,5,2010,Normal,134800.0
11478,Pave,Lvl,Gtl,1Fam,1Story,8,5,2007,2008,Gd,TA,PConc,GasA,Ex,Y,1704,0,0,1704,2,0,3,1,7,1,Y,0,50,0,0,0,0,0,5,2010,Normal,306000.0
16321,Pave,Lvl,Gtl,1Fam,1Story,5,6,1957,1997,TA,TA,CBlock,GasA,TA,Y,1600,0,0,1600,1,0,2,1,6,2,Y,288,258,0,0,0,0,0,12,2006,Normal,207500.0
6324,Pave,Lvl,Gtl,1Fam,1Story,4,6,1927,1950,TA,TA,BrkTil,GasA,Fa,N,520,0,0,520,1,0,1,1,4,0,Y,49,0,87,0,0,0,0,5,2008,Normal,68500.0
8500,Pave,Lvl,Gtl,1Fam,2Story,4,4,1920,1950,TA,Fa,BrkTil,GasA,TA,N,649,668,0,1317,1,0,3,1,6,0,N,0,54,172,0,0,0,0,7,2008,Normal,40000.0
8544,Pave,Lvl,Gtl,1Fam,1Story,5,6,1966,2006,TA,TA,CBlock,GasA,Gd,Y,1228,0,0,1228,1,1,3,1,6,0,Y,0,65,0,0,0,0,0,6,2008,Normal,149350.0
11049,Pave,Lvl,Gtl,1Fam,1Story,8,5,2007,2007,Gd,TA,PConc,GasA,Ex,Y,1234,0,0,1234,2,0,3,1,7,0,Y,0,30,0,0,0,0,0,1,2008,Normal,179900.0
10552,Pave,Lvl,Gtl,1Fam,1Story,5,5,1959,1959,TA,TA,CBlock,GasA,Gd,Y,1700,0,0,1700,1,1,4,1,6,1,Y,0,38,0,0,0,0,0,4,2010,Normal,165500.0
7313,Pave,Lvl,Gtl,TwnhsE,1Story,9,5,2005,2005,Ex,TA,PConc,GasA,Ex,Y,1561,0,0,1561,2,0,2,1,6,1,Y,203,47,0,0,0,0,0,8,2007,Normal,277500.0
13418,Pave,Lvl,Gtl,1Fam,2Story,8,5,2004,2005,Gd,TA,PConc,GasA,Ex,Y,1132,1320,0,2452,3,1,4,1,9,1,Y,113,32,0,0,0,0,0,9,2006,Normal,309000.0
10859,Pave,Lvl,Gtl,1Fam,1Story,5,5,1994,1995,TA,TA,PConc,GasA,Ex,Y,1097,0,0,1097,1,1,3,1,6,0,Y,392,64,0,0,0,0,0,6,2009,Normal,145000.0
8532,Pave,Lvl,Gtl,1Fam,1Story,5,6,1954,1990,TA,TA,CBlock,GasA,Gd,Y,1297,0,0,1297,1,0,3,1,5,1,Y,0,0,0,0,0,0,0,10,2009,Normal,153000.0
7922,Pave,Lvl,Gtl,1Fam,1Story,5,7,1953,2007,TA,Gd,CBlock,GasA,TA,Y,1057,0,0,1057,1,0,3,1,5,0,Y,0,52,0,0,0,0,0,1,2010,Abnorml,109000.0
6040,Pave,Lvl,Gtl,Duplex,1Story,4,5,1955,1955,TA,TA,PConc,GasA,TA,N,1152,0,0,1152,2,0,2,2,6,0,N,0,0,0,0,0,0,0,6,2008,AdjLand,82000.0
8658,Pave,Lvl,Gtl,1Fam,1Story,6,5,1965,1965,TA,TA,CBlock,GasA,Ex,Y,1324,0,0,1324,2,0,3,1,6,1,Y,0,138,0,0,0,0,0,12,2006,Abnorml,160000.0
16905,Pave,Lvl,Gtl,1Fam,1Story,5,6,1959,1959,TA,Gd,CBlock,GasA,Gd,Y,1328,0,0,1328,1,1,2,1,5,2,P,0,104,0,0,0,0,0,7,2007,Normal,170000.0
9180,Pave,Lvl,Gtl,1Fam,SFoyer,5,7,1983,1983,TA,TA,CBlock,GasA,Gd,Y,884,0,0,884,1,0,2,1,5,0,Y,240,0,0,0,0,0,0,12,2007,Normal,144000.0
9200,Pave,Lvl,Gtl,1Fam,1Story,5,6,1975,1980,TA,TA,CBlock,GasA,TA,Y,938,0,0,938,1,0,3,1,5,0,Y,145,0,0,0,0,0,0,7,2008,Normal,130250.0
7945,Pave,Lvl,Gtl,1Fam,1Story,5,6,1959,1959,TA,TA,CBlock,GasA,Ex,Y,1150,0,0,1150,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,5,2006,Normal,141000.0
7658,Pave,Lvl,Gtl,TwnhsE,1Story,9,5,2005,2005,Ex,TA,PConc,GasA,Ex,Y,1752,0,0,1752,2,0,2,1,6,1,Y,196,82,0,0,0,0,0,2,2010,Normal,319900.0
12822,Pave,Lvl,Gtl,1Fam,1.5Fin,7,5,2003,2003,Gd,TA,PConc,GasA,Ex,Y,1518,631,0,2149,1,1,1,1,6,1,Y,168,43,0,0,198,0,0,8,2009,Abnorml,239686.0
11096,Pave,Lvl,Gtl,1Fam,1Story,8,5,2006,2006,Gd,TA,PConc,GasA,Ex,Y,1656,0,0,1656,2,0,3,1,7,0,Y,0,146,0,0,0,0,0,7,2007,Normal,249700.0
4456,Pave,Lvl,Gtl,2fmCon,2Story,4,5,1920,2008,TA,TA,BrkTil,GasA,Gd,Y,736,716,0,1452,2,0,2,3,8,0,N,0,0,102,0,0,0,0,6,2009,Partial,113000.0
7742,Pave,Lvl,Gtl,1Fam,1Story,5,7,1966,1966,TA,TA,CBlock,GasA,Ex,Y,955,0,0,955,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,1,2007,Normal,127000.0
13869,Pave,Lvl,Gtl,1Fam,2Story,6,6,1997,1997,TA,TA,PConc,GasA,Gd,Y,794,676,0,1470,2,0,3,1,6,0,Y,0,75,0,0,0,0,0,7,2007,Normal,177000.0
6240,Pave,Lvl,Gtl,1Fam,1.5Fin,6,6,1934,1950,TA,TA,PConc,GasA,TA,Y,816,0,360,1176,1,0,3,1,6,1,Y,112,0,0,0,0,0,400,9,2006,Normal,114500.0
8472,Grvl,Bnk,Mod,Duplex,1Story,5,5,1963,1963,Fa,TA,CBlock,GasA,TA,N,816,0,0,816,1,0,2,1,5,0,Y,106,0,0,0,0,0,0,5,2010,Normal,110000.0
50271,Pave,Low,Gtl,1Fam,1Story,9,5,1981,1987,Gd,TA,CBlock,GasA,Gd,Y,1842,0,0,1842,0,1,0,1,5,1,Y,857,72,0,0,0,0,0,11,2006,Normal,385000.0
7134,Pave,Bnk,Mod,1Fam,SLvl,5,5,1955,1955,TA,TA,CBlock,GasA,TA,Y,1360,0,0,1360,1,0,3,1,6,1,Y,0,50,0,0,0,0,0,2,2007,Normal,130000.0
10175,Pave,Lvl,Gtl,1Fam,1Story,6,5,1964,1964,TA,TA,CBlock,GasA,Gd,Y,1425,0,0,1425,2,0,3,1,7,1,Y,0,0,0,407,0,0,0,7,2008,Normal,180500.0
2645,Pave,Lvl,Gtl,Twnhs,2Story,8,5,1999,2000,Gd,TA,PConc,GasA,Ex,Y,983,756,0,1739,2,1,3,1,7,0,Y,115,0,0,0,0,0,0,8,2009,Abnorml,172500.0
11645,Pave,Lvl,Gtl,1Fam,2Story,7,5,2004,2004,Gd,TA,PConc,GasA,Ex,Y,860,860,0,1720,2,1,3,1,7,0,Y,0,70,0,0,0,0,0,8,2006,Normal,196500.0
13682,Pave,HLS,Gtl,1Fam,2Story,10,5,2006,2006,Ex,TA,PConc,GasA,Ex,Y,1426,1519,0,2945,3,1,3,1,10,1,Y,192,0,37,0,0,0,0,10,2006,Partial,438780.0
7200,Pave,Bnk,Gtl,1Fam,1Story,5,7,1972,1972,TA,TA,CBlock,GasA,Ex,Y,780,0,0,780,1,0,2,1,4,0,Y,196,0,0,0,0,0,0,1,2008,Normal,124900.0
13072,Pave,Lvl,Gtl,1Fam,1Story,6,5,2004,2004,TA,TA,PConc,GasA,Ex,Y,1158,0,0,1158,1,1,3,1,5,0,Y,0,50,0,0,0,0,0,5,2006,Partial,158000.0
7200,Pave,Lvl,Gtl,1Fam,2.5Unf,5,7,1920,1996,TA,TA,BrkTil,GasA,TA,N,581,530,0,1111,1,0,3,1,6,0,N,0,0,144,0,0,0,0,3,2007,Normal,101000.0
6442,Pave,Lvl,Gtl,TwnhsE,1Story,8,5,2006,2006,Gd,TA,PConc,GasA,Ex,Y,1370,0,0,1370,2,0,2,1,6,1,Y,120,49,0,0,0,0,0,10,2007,Normal,202500.0
10300,Pave,Bnk,Gtl,1Fam,2Story,7,6,1921,1950,TA,TA,BrkTil,GasA,Gd,Y,902,808,0,1710,2,0,3,1,9,0,Y,12,11,64,0,0,0,0,4,2010,Normal,140000.0
9375,Pave,Lvl,Gtl,1Fam,2Story,7,5,1997,1998,TA,TA,PConc,GasA,Ex,Y,1057,977,0,2034,2,1,3,1,8,0,Y,576,36,0,0,0,0,0,2,2009,Normal,219500.0
9591,Pave,Lvl,Gtl,1Fam,2Story,8,5,2004,2005,Gd,TA,PConc,GasA,Ex,Y,1143,1330,0,2473,2,1,4,1,9,1,Y,192,151,0,0,0,0,0,10,2007,Normal,317000.0
19900,Pave,Lvl,Gtl,1Fam,1Story,7,5,1970,1989,TA,TA,CBlock,GasA,TA,Y,2207,0,0,2207,2,0,3,1,7,1,Y,301,0,0,0,0,0,0,7,2010,Normal,180000.0
10665,Pave,Lvl,Gtl,1Fam,1Story,7,5,2003,2003,Gd,TA,PConc,GasA,Ex,Y,1479,0,0,1479,2,0,3,1,7,0,Y,144,29,0,0,0,0,0,6,2007,Normal,226000.0
4608,Pave,Lvl,Gtl,1Fam,1Story,4,6,1945,1950,TA,Gd,CBlock,GasA,TA,Y,747,0,0,747,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,6,2010,Normal,80000.0
15593,Pave,Lvl,Gtl,1Fam,1.5Fin,7,4,1953,1953,Gd,TA,CBlock,GasW,TA,Y,1304,983,0,2287,2,0,3,1,7,1,Y,0,21,114,0,0,0,0,7,2006,Normal,225000.0
13651,Pave,Lvl,Gtl,1Fam,1Story,7,6,1973,1973,TA,Gd,CBlock,GasA,Ex,Y,2223,0,0,2223,2,0,3,1,8,2,Y,300,0,0,0,0,0,0,2,2007,Normal,244000.0
7599,Pave,Lvl,Gtl,1Fam,1Story,4,6,1982,2006,TA,TA,CBlock,GasA,TA,Y,845,0,0,845,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,6,2007,Normal,129500.0
10141,Pave,Lvl,Gtl,1Fam,2Story,7,5,1998,1998,TA,TA,PConc,GasA,Gd,Y,885,833,0,1718,2,1,3,1,7,1,Y,0,94,0,0,291,0,0,12,2009,Normal,185000.0
10200,Pave,Lvl,Gtl,1Fam,1Story,5,7,1954,2003,TA,TA,CBlock,GasA,Gd,Y,1086,0,0,1086,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,5,2010,Normal,144900.0
5790,Pave,Lvl,Gtl,1Fam,2Story,3,6,1915,1950,Gd,Gd,CBlock,GasA,Gd,N,840,765,0,1605,2,0,3,2,8,0,Y,0,0,202,0,0,0,0,5,2010,Normal,107400.0
1596,Pave,Lvl,Gtl,Twnhs,SLvl,4,5,1973,1973,TA,TA,CBlock,GasA,TA,Y,526,462,0,988,1,0,2,1,5,0,Y,120,101,0,0,0,0,0,11,2009,Normal,91000.0
8475,Pave,Lvl,Gtl,1Fam,1Story,4,7,1956,1956,TA,TA,CBlock,GasA,Ex,Y,952,0,0,952,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,4,2008,Normal,135750.0
8635,Pave,Lvl,Gtl,1Fam,1.5Fin,5,5,1948,2001,TA,TA,CBlock,GasA,TA,Y,1072,213,0,1285,1,0,2,1,6,0,Y,0,0,0,0,0,0,0,1,2008,Normal,127000.0
10778,Pave,Lvl,Gtl,Duplex,1Story,4,5,1968,1968,TA,TA,CBlock,GasA,TA,N,1768,0,0,1768,2,0,4,2,8,0,Y,0,0,0,0,0,0,0,4,2010,Normal,136500.0
10440,Pave,Lvl,Gtl,1Fam,2Story,5,6,1910,1981,TA,TA,PConc,GasA,Gd,Y,682,548,0,1230,1,1,2,1,5,0,Y,74,0,128,0,0,0,0,5,2009,Normal,110000.0
13000,Pave,Lvl,Gtl,1Fam,2Story,6,6,1968,1968,TA,Gd,CBlock,GasA,TA,Y,1182,960,0,2142,2,1,4,1,8,1,Y,0,72,0,0,252,0,0,6,2009,Normal,193500.0
4500,Pave,Lvl,Gtl,TwnhsE,1Story,6,5,1998,1998,TA,Gd,PConc,GasA,Ex,Y,1337,0,0,1337,2,0,2,1,5,0,Y,0,199,0,0,0,0,0,3,2006,Normal,153500.0
10206,Pave,Lvl,Gtl,1Fam,1Story,8,5,2007,2007,TA,TA,PConc,GasA,Ex,Y,1563,0,0,1563,2,0,3,1,6,1,Y,144,99,0,0,0,0,0,10,2008,Normal,245000.0
8892,Pave,Lvl,Gtl,1Fam,1Story,5,5,1960,1960,TA,TA,CBlock,GasA,Gd,Y,1065,0,0,1065,1,1,3,1,6,0,Y,74,0,0,0,0,0,0,7,2007,Normal,126500.0
8530,Pave,Lvl,Gtl,1Fam,SLvl,7,5,1995,1996,TA,TA,PConc,GasA,Gd,Y,804,670,0,1474,2,1,3,1,7,1,Y,120,72,0,0,0,0,700,5,2009,Normal,168500.0
16059,Pave,Lvl,Gtl,1Fam,2Story,8,5,1991,1992,Gd,TA,CBlock,GasA,Ex,Y,1301,1116,0,2417,2,1,4,1,9,1,Y,127,82,0,0,0,0,0,4,2006,Normal,260000.0
11911,Pave,Lvl,Gtl,1Fam,2Story,6,5,2005,2005,Gd,TA,PConc,GasA,Ex,Y,684,876,0,1560,2,1,3,1,6,1,Y,100,38,0,0,0,0,0,3,2009,Normal,174000.0
3951,Pave,Lvl,Gtl,TwnhsE,2Story,6,5,2009,2009,Gd,TA,PConc,GasA,Ex,Y,612,612,0,1224,2,1,2,1,4,0,Y,0,234,0,0,0,0,0,6,2009,Partial,164500.0
8470,Pave,Lvl,Gtl,1Fam,1.5Fin,3,2,1915,1982,Fa,Fa,CBlock,GasA,TA,N,1013,0,513,1526,1,0,2,1,6,0,N,0,0,156,0,0,0,0,10,2009,Abnorml,85000.0
8070,Pave,Lvl,Gtl,1Fam,1Story,4,5,1994,1995,TA,TA,PConc,GasA,Ex,Y,990,0,0,990,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,8,2007,Normal,123600.0
7200,Pave,Lvl,Gtl,1Fam,1Story,4,5,1950,1950,TA,TA,Slab,GasA,TA,Y,1040,0,0,1040,1,0,2,1,4,0,Y,0,29,0,0,0,0,0,7,2006,Normal,109900.0
8500,Pave,Lvl,Gtl,1Fam,1Story,5,3,1961,1961,TA,TA,CBlock,GasA,TA,Y,1235,0,0,1235,1,0,2,1,6,0,Y,0,0,0,0,0,0,0,12,2006,Abnorml,98600.0
13360,Pave,HLS,Gtl,1Fam,1Story,5,7,1921,2006,TA,Gd,BrkTil,GasA,Ex,Y,964,0,0,964,1,0,2,1,5,0,Y,0,0,44,0,0,0,0,8,2009,Normal,163500.0
7200,Pave,Lvl,Gtl,2fmCon,2.5Unf,6,6,1910,1998,TA,TA,BrkTil,GasW,Ex,N,1260,1031,0,2291,2,0,4,2,9,1,Y,0,0,0,0,99,0,0,11,2007,Normal,133900.0
9337,Pave,Lvl,Gtl,1Fam,2Story,6,5,1997,1997,TA,Gd,PConc,GasA,Ex,Y,905,881,0,1786,2,1,3,1,7,0,Y,0,162,0,0,0,0,0,5,2007,Normal,204750.0
9765,Pave,Lvl,Gtl,1Fam,2Story,6,8,1993,1993,Ex,Gd,PConc,GasA,Gd,Y,680,790,0,1470,2,1,3,1,6,1,Y,232,63,0,0,0,0,480,4,2009,Normal,185000.0
10264,Pave,Lvl,Gtl,1Fam,1Story,7,5,1999,1999,Gd,TA,PConc,GasA,Ex,Y,1588,0,0,1588,2,0,3,1,6,0,Y,158,29,0,0,0,0,0,8,2006,Normal,214000.0
10921,Pave,HLS,Gtl,1Fam,1Story,4,5,1965,1965,TA,TA,CBlock,GasA,TA,Y,960,0,0,960,1,0,3,1,6,0,P,120,0,0,0,0,0,0,5,2007,Normal,94750.0
10625,Pave,Lvl,Gtl,1Fam,1Story,5,5,1920,1950,TA,TA,BrkTil,GasA,Fa,N,835,0,0,835,1,0,2,1,5,0,Y,0,0,77,0,0,0,400,5,2010,Abnorml,83000.0
9320,Pave,Lvl,Gtl,1Fam,1Story,4,5,1959,1959,TA,TA,CBlock,GasA,Fa,Y,1225,0,0,1225,1,1,3,1,6,0,Y,352,0,0,0,0,0,400,1,2010,Normal,128950.0
10603,Pave,Lvl,Gtl,1Fam,1Story,6,7,1977,2001,TA,TA,PConc,GasA,Gd,Y,1610,0,0,1610,2,0,3,1,6,2,Y,168,68,0,0,0,0,0,2,2010,Normal,205000.0
9206,Pave,Lvl,Gtl,1Fam,2Story,6,5,1985,1985,Gd,TA,CBlock,GasA,TA,Y,977,755,0,1732,2,1,3,1,7,1,Y,192,46,0,0,0,0,0,6,2010,Normal,178000.0
7018,Pave,Bnk,Gtl,Duplex,1Story,5,5,1979,1979,TA,Fa,Slab,GasA,TA,Y,1535,0,0,1535,2,0,4,2,8,0,Y,0,0,0,0,0,0,0,6,2009,Alloca,118964.0
10402,Pave,Lvl,Gtl,1Fam,1Story,7,5,2009,2009,TA,TA,PConc,GasA,Ex,Y,1226,0,0,1226,2,0,3,1,6,0,Y,0,36,0,0,0,0,0,5,2010,Normal,198900.0
7758,Pave,Lvl,Gtl,1Fam,1.5Fin,7,4,1931,1950,TA,Fa,PConc,GasA,Ex,Y,1226,592,0,1818,1,1,4,1,7,2,Y,0,0,0,0,184,0,0,6,2007,Normal,169500.0
9375,Pave,Lvl,Gtl,1Fam,2Story,8,5,2003,2004,Gd,TA,PConc,GasA,Ex,Y,1053,939,0,1992,2,1,3,1,9,1,Y,140,45,0,0,0,0,0,8,2008,Normal,250000.0
10800,Pave,Lvl,Gtl,1Fam,1Story,4,7,1885,1995,TA,TA,BrkTil,GasA,Gd,Y,1047,0,0,1047,1,0,2,1,6,0,N,0,0,0,0,0,0,450,8,2007,Normal,100000.0
6000,Pave,Lvl,Gtl,1Fam,1Story,5,5,1948,1950,TA,TA,CBlock,GasA,Ex,Y,789,0,0,789,1,0,2,1,5,0,Y,0,0,0,0,0,0,0,4,2008,Partial,115000.0
8500,Pave,Lvl,Gtl,1Fam,1.5Fin,5,7,1919,2005,TA,TA,CBlock,GasW,TA,N,997,520,0,1517,2,0,3,1,7,0,N,0,0,144,0,0,0,0,8,2007,Normal,115000.0
11751,Pave,Lvl,Gtl,1Fam,1Story,6,6,1977,1977,TA,TA,CBlock,GasA,Ex,Y,1844,0,0,1844,2,0,3,1,7,1,Y,0,122,0,0,0,0,0,1,2010,Normal,190000.0
9525,Pave,Lvl,Gtl,1Fam,1.5Fin,6,4,1954,1972,TA,TA,CBlock,GasA,Gd,Y,1216,639,0,1855,2,0,4,1,7,0,Y,182,0,0,0,0,0,0,10,2006,Normal,136900.0
7750,Pave,Lvl,Gtl,1Fam,SLvl,7,5,2000,2000,TA,TA,PConc,GasA,Ex,Y,774,656,0,1430,2,1,3,1,7,1,Y,180,0,0,0,0,0,0,4,2010,Normal,180000.0
9965,Pave,Lvl,Gtl,1Fam,2Story,7,5,2007,2007,Gd,TA,PConc,GasA,Ex,Y,1282,1414,0,2696,2,1,4,1,10,1,Y,120,184,0,0,168,0,0,10,2007,Partial,383970.0
21000,Pave,Bnk,Gtl,1Fam,1Story,6,5,1953,1953,TA,Gd,CBlock,GasA,TA,Y,2259,0,0,2259,2,0,3,1,7,2,Y,166,120,192,0,0,0,0,10,2007,Abnorml,217000.0
7259,Pave,Lvl,Mod,1Fam,2Story,6,8,1945,2002,TA,TA,CBlock,GasA,Ex,Y,1436,884,0,2320,2,1,3,1,9,1,Y,224,0,0,0,0,0,0,7,2007,Normal,259500.0
3230,Pave,Lvl,Gtl,TwnhsE,2Story,6,5,1999,1999,TA,TA,PConc,GasA,Gd,Y,729,729,0,1458,2,1,2,1,5,1,Y,0,32,0,0,0,0,0,6,2007,Normal,176000.0
11616,Pave,Lvl,Gtl,1Fam,1Story,5,5,1962,1962,TA,TA,CBlock,GasA,TA,Y,1092,0,0,1092,1,0,3,1,6,1,Y,0,20,144,0,0,0,0,9,2009,Normal,139000.0
8536,Pave,Lvl,Gtl,1Fam,1Story,5,5,2006,2007,TA,TA,PConc,GasA,Gd,Y,1125,0,0,1125,1,1,2,1,5,0,Y,80,64,0,0,0,0,0,4,2007,Partial,155000.0
12376,Pave,Lvl,Gtl,1Fam,2Story,7,5,1990,1990,TA,TA,PConc,GasA,Gd,Y,1699,1523,0,3222,3,0,5,1,11,2,Y,367,0,0,0,0,0,0,5,2010,Normal,320000.0
8461,Pave,Lvl,Gtl,1Fam,2Story,6,5,2005,2006,Gd,TA,PConc,GasA,Ex,Y,728,728,0,1456,2,1,3,1,8,1,Y,0,24,0,0,0,0,0,7,2006,Partial,163990.0
21453,Pave,Low,Sev,1Fam,SLvl,6,5,1969,1969,TA,TA,CBlock,GasA,Ex,Y,988,0,0,988,1,0,1,1,4,2,Y,0,130,0,130,0,0,0,10,2006,Normal,180000.0
